Merchant ID,Merchant Name,Logo,Active,Merchant Metadata Version,Strapline,Description,Default Clickthrough,Merchant Category,Product Feed Enabled,Datafeed Version,Product Feed Last Refreshed,Product Feed Last Modified,Product Feed No. Products,Display URL
"1302","Evans Cycles","https://www.affiliatewindow.com/logos/1302/logo.gif","yes","3","The UK&#39;s largest specialist cycle retailer","Evans Cycles are the UK&#39;s largest specialist cycle retailer.  Our website stocks the most comprehensive range of bikes, cycling equipment and cycle clothing in the market.    The range covers mountain biking, BMX, road cycling, commuting, folding bikes and kids bikes.    Brands include Specialized, Trek, Kona, Cannondale, GT, Saracen, Raleigh and more.    As well as stocking the latest gear we are also renowned for our massive stock of sale bikes and &#39;last chance&#39; clothing and accessory items, many up to half price!     Free delivery options for all UK orders.","http://www.awin1.com/awclick.php?mid=1302&id=34475","Sports","yes","1037","2011-11-25 07:38:06","2011-11-25 07:46:15","9450","http://www.evanscycles.com"
"1857","Wiggle Online Cycle Shop","https://www.affiliatewindow.com/logos/1857/logo.gif","yes","4","The UK&#39;s Number 1 online bike shop!","Officially the UK&#39;s number one online bike and cycle shop.   With nearly 10 years online bike parts and accessories trading and a deep history and passion for cycling, we give our customers an experience of being the one stop shop for all their cycling needs.   Our expertise lies in offering incredible deals on a superb range of top quality mountain bikes, road bikes, bike parts and cycle accessories to buy, available with free delivery or our same day priority dispatch. We offer a comprehensive range of run, swim, triathlon and hiking gear as well as having a specialised female section on the site.","http://www.awin1.com/awclick.php?mid=1857&id=34475","Clothing & Accessories","yes","908","2011-11-25 00:32:06","2011-11-25 00:40:15","12678","http://www.wiggle.co.uk"
